name,description,category
Ryzen 9 7900X (Retail Box),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Heatsink Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (White Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Limited Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Gen 2),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Gen 3),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Enterprise Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Pro Bundle),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Starter Kit),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Value Pack),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Premium Bundle),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Creator Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Performance Pack),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Ultimate Bundle),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Refurbished),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Open Box),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Bulk Pack),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Student Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 9 7900X (Gaming Edition),12-core AM5 processor 170W TDP,Desktop CPUs
Ryzen 7 7700X,8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (OEM Bundle),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Retail Box),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Heatsink Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (White Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Limited Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Gen 2),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Gen 3),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Enterprise Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Pro Bundle),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Starter Kit),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Value Pack),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Premium Bundle),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Creator Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Performance Pack),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Ultimate Bundle),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Refurbished),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Open Box),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Bulk Pack),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Student Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 7 7700X (Gaming Edition),8-core high-performance AM5 CPU,Desktop CPUs
Ryzen 5 7600X,6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (OEM Bundle),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Retail Box),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Heatsink Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (White Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Limited Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Gen 2),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Gen 3),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Enterprise Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Pro Bundle),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Starter Kit),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Value Pack),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Premium Bundle),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Creator Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Performance Pack),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Ultimate Bundle),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Refurbished),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Open Box),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Bulk Pack),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Student Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 5 7600X (Gaming Edition),6-core budget AM5 CPU,Desktop CPUs
Ryzen 9 9950X,Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (OEM Bundle),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Retail Box),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Heatsink Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (White Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Limited Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Gen 2),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Gen 3),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Enterprise Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Pro Bundle),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Starter Kit),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Value Pack),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Premium Bundle),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Creator Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Performance Pack),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Ultimate Bundle),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Refurbished),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Open Box),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Bulk Pack),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Student Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 9 9950X (Gaming Edition),Zen 5 flagship 16-core AM5 CPU,Desktop CPUs
Ryzen 7 9700X,Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (OEM Bundle),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Retail Box),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Heatsink Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (White Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Limited Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Gen 2),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Gen 3),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Enterprise Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Pro Bundle),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Starter Kit),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Value Pack),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Premium Bundle),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Creator Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Performance Pack),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Ultimate Bundle),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Refurbished),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Open Box),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Bulk Pack),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Student Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 7 9700X (Gaming Edition),Zen 5 8-core mid-range AM5 CPU,Desktop CPUs
Ryzen 5 9600X,Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (OEM Bundle),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Retail Box),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Heatsink Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (White Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Limited Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Gen 2),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Gen 3),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Enterprise Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Pro Bundle),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Starter Kit),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Value Pack),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Premium Bundle),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Creator Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Performance Pack),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Ultimate Bundle),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Refurbished),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Open Box),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Bulk Pack),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Student Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Ryzen 5 9600X (Gaming Edition),Zen 5 6-core AM5 mainstream CPU,Desktop CPUs
Core i9-14900K,24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (OEM Bundle),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Retail Box),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Heatsink Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (White Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Limited Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Gen 2),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Gen 3),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Enterprise Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Pro Bundle),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Starter Kit),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Value Pack),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Premium Bundle),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Creator Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Performance Pack),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Ultimate Bundle),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Refurbished),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Open Box),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Bulk Pack),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Student Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i9-14900K (Gaming Edition),24-core Intel hybrid overclockable CPU,Desktop CPUs
Core i7-14700K,20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (OEM Bundle),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Retail Box),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Heatsink Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (White Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Limited Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Gen 2),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Gen 3),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Enterprise Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Pro Bundle),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Starter Kit),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Value Pack),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Premium Bundle),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Creator Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Performance Pack),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Ultimate Bundle),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Refurbished),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Open Box),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Bulk Pack),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Student Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i7-14700K (Gaming Edition),20-core Intel 700-series CPU,Desktop CPUs
Core i5-14600K,14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (OEM Bundle),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Retail Box),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Heatsink Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (White Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Limited Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Gen 2),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Gen 3),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Enterprise Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Pro Bundle),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Starter Kit),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Value Pack),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Premium Bundle),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Creator Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Performance Pack),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Ultimate Bundle),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Refurbished),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Open Box),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Bulk Pack),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Student Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i5-14600K (Gaming Edition),14-core mainstream Intel CPU,Desktop CPUs
Core i9-13900KS,Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (OEM Bundle),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Retail Box),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Heatsink Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (White Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Limited Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Gen 2),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Gen 3),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Enterprise Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Pro Bundle),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Starter Kit),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Value Pack),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Premium Bundle),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Creator Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Performance Pack),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Ultimate Bundle),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Refurbished),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Open Box),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Bulk Pack),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Student Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core i9-13900KS (Gaming Edition),Special Edition 6 GHz boost CPU,Desktop CPUs
Core Ultra 9 285K,Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (OEM Bundle),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Retail Box),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Heatsink Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (White Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Limited Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Gen 2),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Gen 3),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Enterprise Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Pro Bundle),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Starter Kit),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Value Pack),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Premium Bundle),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Creator Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Performance Pack),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Ultimate Bundle),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Refurbished),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Open Box),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Bulk Pack),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Student Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 9 285K (Gaming Edition),Arrow Lake flagship PCIe 5.0 CPU,Desktop CPUs
Core Ultra 7 265K,Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (OEM Bundle),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Retail Box),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Heatsink Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (White Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Limited Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Gen 2),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Gen 3),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Enterprise Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Pro Bundle),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Starter Kit),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Value Pack),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Premium Bundle),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Creator Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Performance Pack),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Ultimate Bundle),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Refurbished),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Open Box),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Bulk Pack),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Student Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 7 265K (Gaming Edition),Arrow Lake mid-range desktop CPU,Desktop CPUs
Core Ultra 5 245K,Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (OEM Bundle),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Retail Box),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Heatsink Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (White Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Limited Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Gen 2),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Gen 3),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Enterprise Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Pro Bundle),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Starter Kit),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Value Pack),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Premium Bundle),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Creator Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Performance Pack),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Ultimate Bundle),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Refurbished),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Open Box),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Bulk Pack),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Student Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Core Ultra 5 245K (Gaming Edition),Arrow Lake entry-performance CPU,Desktop CPUs
Ryzen 9 7900,65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (OEM Bundle),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Retail Box),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Heatsink Edition),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (White Edition),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Limited Edition),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Gen 2),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Gen 3),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Enterprise Edition),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Pro Bundle),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Starter Kit),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Value Pack),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Premium Bundle),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Creator Edition),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Performance Pack),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
Ryzen 9 7900 (Ultimate Bundle),65W eco-friendly 12-core AM5 CPU,Desktop CPUs
